,Step,Balance,Shares_held,Total_sold,Prime_cost,Total_sales,net_worth,Max_net_worth,Min_net_worth,Profit
0,555,23122001.385,950000,50000,0.0,1101205.0,44044896.385000005,44044896.385000005,22024100.0,22020796.385000005
1,556,24153850.273750003,902500,97500,0.0,2136158.75,43817971.52375001,44044896.385000005,22024100.0,21793871.523750007
2,557,22943748.460569404,958229,97500,1.2603317581705415,2136158.75,43709241.6508694,44044896.385000005,22024100.0,21685141.6508694
3,558,23990152.541651506,910318,145411,1.2603317581705415,3185711.4893,43931851.7450515,44044896.385000005,22024100.0,21907751.745051503
4,559,24984226.590418007,864803,190926,1.2603317581705415,4182776.7338,43928860.54931801,44044896.385000005,22024100.0,21904760.549318008
5,560,23732521.419403005,921828,190926,2.61547258433334,4182776.7338,43926362.13580301,44044896.385000005,22024100.0,21902262.135803007
6,561,22543523.753569007,975118,190926,3.8323759919209346,4182776.7338,44256768.79496901,44256768.79496901,22024100.0,22232668.794969007
7,562,23620056.546740506,926363,239681,3.8323759919209346,5262548.8433,44136125.271440506,44256768.79496901,22024100.0,22112025.271440506
8,563,22436699.706539508,979980,239681,5.037497372459313,5262548.8433,44022229.17653951,44256768.79496901,22024100.0,21998129.17653951
9,564,23512738.350619007,930981,288680,5.037497372459313,6341825.3168,44018991.347119,44256768.79496901,22024100.0,21994891.347119004
10,565,24534973.96447351,884432,335229,5.037497372459313,7367136.8653,44015915.41247351,44256768.79496901,22024100.0,21991815.412473507
11,566,24534973.96447351,884432,335229,5.037497372459313,7367136.8653,43909518.242873505,44256768.79496901,22024100.0,21885418.242873505
12,567,24534973.96447351,884432,335229,5.037497372459313,7367136.8653,43909518.242873505,44256768.79496901,22024100.0,21885418.242873505
13,568,25500781.892462905,840211,379450,5.037497372459313,8335850.9355,43906612.1006629,44256768.79496901,22024100.0,21882512.100662902
14,569,24223203.370733306,898415,379450,6.456695031447643,8335850.9355,43904062.0437333,44256768.79496901,22024100.0,21879962.0437333
15,570,23009641.901551705,954317,379450,7.725811258864738,8335850.9355,43685301.43335171,44256768.79496901,22024100.0,21661201.43335171
16,571,23009641.901551705,954317,379450,7.725811258864738,8335850.9355,43685301.43335171,44256768.79496901,22024100.0,21661201.43335171
17,572,24040305.168868706,906602,427165,7.725811258864738,9369615.4965,43682200.1396687,44256768.79496901,22024100.0,21658100.139668703
18,573,22835904.784084704,962082,427165,8.975181262668988,9369615.4965,43679796.14688471,44256768.79496901,22024100.0,21655696.14688471
19,574,23874970.608479906,913978,475269,8.975181262668988,10411807.8981,43676669.56967991,44256768.79496901,22024100.0,21652569.56967991
20,575,23874970.608479906,913978,475269,8.975181262668988,10411807.8981,43896755.4720799,44256768.79496901,22024100.0,21872655.472079903
21,576,24867551.394414708,868280,520967,8.975181262668988,11407375.3865,43783725.8184147,44256768.79496901,22024100.0,21759625.818414703
22,577,25810522.68945111,824866,564381,8.975181262668988,12353184.1077,43780888.392251104,44256768.79496901,22024100.0,21756788.392251104
23,578,26701388.14337451,783623,605624,8.975181262668988,13246730.1999,43678893.88757451,44256768.79496901,22024100.0,21654793.88757451
24,579,26701388.14337451,783623,605624,8.975181262668988,13246730.1999,43678893.88757451,44256768.79496901,22024100.0,21654793.88757451
25,580,26701388.14337451,783623,605624,8.975181262668988,13246730.1999,43678893.88757451,44256768.79496901,22024100.0,21654793.88757451
