,Step,Balance,Shares_held,Total_sold,Prime_cost,Total_sales,net_worth,Max_net_worth,Min_net_worth,Profit
0,392,16750821.57,1050000,0,0.8397285714285714,0.0,35266836.57,35266836.57,17634300.0,17632536.57
1,393,15911605.409342999,1097495,0,1.6028674271864563,0.0,35265161.487843,35266836.57,17634300.0,17630861.487843
2,394,15911605.409342999,1097495,0,1.6028674271864563,0.0,35434943.964343004,35434943.964343004,17634300.0,17800643.964343004
3,395,15114442.821953999,1142610,0,2.299143010718895,0.0,35263570.344954,35434943.964343004,17634300.0,17629270.344954
4,396,15114442.821953999,1142610,0,2.299143010718895,0.0,35086808.577954,35434943.964343004,17634300.0,17452508.577954
5,397,15114442.821953999,1142610,0,2.299143010718895,0.0,35440332.111954,35440332.111954,17634300.0,17806032.111954004
6,398,16127679.535244,1085480,57130,2.299143010718895,1016285.5700000001,35437283.255244,35440332.111954,17634300.0,17802983.255244
7,399,15319691.414503999,1130810,57130,3.0122383759880385,1016285.5700000001,35435670.504503995,35440332.111954,17634300.0,17801370.504503995
8,400,16322464.104324,1074270,113670,3.0122383759880385,2022075.6300000001,35432653.134324,35440332.111954,17634300.0,17798353.134324
9,401,17283377.2773636,1020557,167383,3.0122383759880385,2985880.2168,35595843.862563595,35595843.862563595,17634300.0,17961543.862563595
10,402,16417491.333706798,1068305,167383,3.821143724554225,2985880.2168,35751995.715206794,35751995.715206794,17634300.0,18117695.715206794
11,403,17381311.8661233,1014890,220798,3.821143724554225,3952600.9113,35749095.553123295,35751995.715206794,17634300.0,18114795.553123295
12,404,18296936.8609177,964146,271542,3.821143724554225,4870981.046499999,35746340.4127177,35751995.715206794,17634300.0,18112040.4127177
13,405,19166784.2147734,915939,319749,3.821143724554225,5743445.794599999,35743723.0184734,35751995.715206794,17634300.0,18109423.0184734
14,406,20000190.859609403,870143,365545,3.821143724554225,6579360.182599999,35882911.0386094,35882911.0386094,17634300.0,18248611.0386094
15,407,20798652.0720977,826636,409052,3.821143724554225,7380223.986499999,36015119.5692977,36015119.5692977,17634300.0,18380819.5692977
16,408,20798652.0720977,826636,409052,3.821143724554225,7380223.986499999,36015119.5692977,36015119.5692977,17634300.0,18380819.5692977
17,409,19756650.8942273,882659,409052,4.999312570280604,7380223.986499999,36140920.3158273,36140920.3158273,17634300.0,18506620.315827303
18,410,20587002.6209945,838527,453184,4.999312570280604,8213074.264099998,36411516.4595945,36411516.4595945,17634300.0,18777216.459594503
19,411,19555611.6704225,891339,453184,6.154128286859818,8213074.264099998,36928254.4499225,36928254.4499225,17634300.0,19293954.449922502
20,412,20421619.4525535,846773,497750,6.154128286859818,9081687.887099998,36925648.6090535,36928254.4499225,17634300.0,19291348.6090535
21,413,19398496.4478675,898343,497750,7.290755213323318,9081687.887099998,37185598.01356751,37185598.01356751,17634300.0,19551298.013567507
22,414,20278252.685922302,853426,542667,7.290755213323318,9964091.335499998,37043977.141122304,37185598.01356751,17634300.0,19409677.141122304
23,415,20278252.685922302,853426,542667,7.290755213323318,9964091.335499998,37176002.143322304,37185598.01356751,17634300.0,19541702.143322304
24,416,21133762.3744014,810755,585338,7.290755213323318,10822175.275799999,37437477.895901404,37437477.895901404,17634300.0,19803177.895901404
