,Step,Balance,Shares_held,Total_sold,Prime_cost,Total_sales,net_worth,Max_net_worth,Min_net_worth,Profit
0,987,55487092.14,950000,50000,0.0,2642620.0,105696872.14,105696872.14,52852400.0,52844472.14
1,988,57986417.35275,902500,97500,0.0,5149465.75,105616486.60275,105696872.14,52852400.0,52764086.60275
2,989,60360776.3048625,857375,142625,0.0,7530969.2125,105609342.0923625,105696872.14,52852400.0,52756942.09236249
3,990,62600149.6976785,814507,185493,0.0,9777080.9405,105277058.46967849,105696872.14,52852400.0,52424658.46967849
4,991,59463921.3208987,873814,185493,3.581961881933684,9777080.9405,105580066.84069869,105696872.14,52852400.0,52727666.84069869
5,992,56484803.1420283,930150,185493,6.778405289126073,9777080.9405,105574120.4970283,105696872.14,52852400.0,52721720.497028306
6,993,58914273.5717123,883643,232000,6.778405289126073,12213861.7125,105213632.1997123,105696872.14,52852400.0,52361232.199712306
7,994,55962699.136574306,940273,232000,9.91120083786564,12213861.7125,104872221.5864743,105696872.14,52852400.0,52019821.5864743
8,995,53159013.457975104,994461,232000,12.72487528020174,12213861.7125,104509697.7766751,105696872.14,52852400.0,51657297.776675105
9,996,50495765.8595051,1046316,232000,15.265151578184376,12213861.7125,104126785.0715051,105696872.14,52852400.0,51274385.0715051
10,997,53189035.698123604,994001,284315,15.265151578184376,14915235.673,104515967.13482359,105696872.14,52852400.0,51663567.13482359
11,998,55728866.1794236,944301,334015,15.265151578184376,17462708.573,104130902.5364236,105696872.14,52852400.0,51278502.536423594
12,999,55728866.1794236,944301,334015,15.265151578184376,17462708.573,104130902.5364236,105696872.14,52852400.0,51278502.536423594
13,1000,58141705.1366586,897086,381230,15.265151578184376,19882807.827999998,104123642.2386586,105696872.14,52852400.0,51271242.23865861
14,1001,60450869.3408332,852232,426084,15.265151578184376,22198920.369799998,104457317.4552332,105696872.14,52852400.0,51604917.4552332
15,1002,57422321.7378376,910766,426084,18.583789513504755,22198920.369799998,104451272.4500376,105696872.14,52852400.0,51598872.4500376
16,1003,54545469.9206416,966780,426084,21.55355471137811,22198920.369799998,104099712.38064161,105696872.14,52852400.0,51247312.38064161
17,1004,57034048.1626177,918441,474423,21.55355471137811,24694986.8111,104459310.5473177,105696872.14,52852400.0,51606910.5473177
18,1005,54176656.3916293,973667,474423,24.482367533626373,24694986.8111,104453607.1705293,105696872.14,52852400.0,51601207.170529306
19,1006,56719798.4762253,924984,523106,24.482367533626373,27245781.279099997,105185260.14022529,105696872.14,52852400.0,52332860.14022529
20,1007,53878145.8225407,979505,523106,27.377687815095076,27245781.279099997,104828371.7540407,105696872.14,52852400.0,51975971.7540407
21,1008,51178885.9175193,1031294,523106,29.98981603527283,27245781.279099997,104822984.00971931,105696872.14,52852400.0,51970584.00971931
22,1009,53872528.0194873,979730,574670,29.98981603527283,29947528.623099998,105206461.0994873,105696872.14,52852400.0,52354061.099487305
23,1010,51173528.7161289,1031514,574670,32.601135008355115,29947528.623099998,104829070.39432889,105696872.14,52852400.0,51976670.39432889
24,1011,48609739.8857541,1079996,574670,34.9702840490923,29947528.623099998,105607284.7829541,105696872.14,52852400.0,52754884.7829541
25,1012,46174404.2604021,1125076,574670,37.13056004466949,29947528.623099998,106832539.2776021,106832539.2776021,52852400.0,53980139.27760211
26,1013,49176879.710761204,1068823,630923,37.13056004466949,32959038.6034,106396425.8980612,106832539.2776021,52852400.0,53544025.8980612
27,1014,49176879.710761204,1068823,630923,37.13056004466949,32959038.6034,105990593.8049612,106832539.2776021,52852400.0,53138193.804961205
